input,the_rank,recommendation,type1,type2,abilities,generation,learn_more
Starly,8,Pikipek,normal,flying,"Keen Eye, Skill Link, Pickup",7,https://pokemondb.net/pokedex/Pikipek
Starly,9,Riolu,fighting,,"Steadfast, Inner Focus, Prankster",4,https://pokemondb.net/pokedex/Riolu
Starly,10,Bunnelby,normal,,"Pickup, Cheek Pouch, Huge Power",6,https://pokemondb.net/pokedex/Bunnelby
Starmie,1,Whimsicott,grass,fairy,"Prankster, Infiltrator, Chlorophyll",5,https://pokemondb.net/pokedex/Whimsicott
Starmie,2,Typhlosion,fire,,"Blaze, Flash Fire",2,https://pokemondb.net/pokedex/Typhlosion
Starmie,3,Sigilyph,psychic,flying,"Wonder Skin , Magic Guard, Tinted Lens",5,https://pokemondb.net/pokedex/Sigilyph
Starmie,4,Noivern,flying,dragon,"Frisk, Infiltrator, Telepathy",6,https://pokemondb.net/pokedex/Noivern
Starmie,5,Xatu,psychic,flying,"Synchronize, Early Bird, Magic Bounce",2,https://pokemondb.net/pokedex/Xatu
Starmie,6,Electabuzz,electric,,"Static, Vital Spirit",1,https://pokemondb.net/pokedex/Electabuzz
Starmie,7,Ninetales,fire,ice,"Flash Fire, Drought, Snow Cloak, Snow Warning",1,https://pokemondb.net/pokedex/Ninetales
Starmie,8,Froslass,ice,ghost,"Snow Cloak, Cursed Body",4,https://pokemondb.net/pokedex/Froslass
Starmie,9,Delphox,fire,psychic,"Blaze, Magician",6,https://pokemondb.net/pokedex/Delphox
Starmie,10,Serperior,grass,,"Overgrow, Contrary",5,https://pokemondb.net/pokedex/Serperior
Staryu,1,Natu,psychic,flying,"Synchronize, Early Bird, Magic Bounce",2,https://pokemondb.net/pokedex/Natu
Staryu,2,Delibird,ice,flying,"Vital Spirit, Hustle, Insomnia",2,https://pokemondb.net/pokedex/Delibird
Staryu,3,Pikachu,electric,,"Static, Lightningrod",1,https://pokemondb.net/pokedex/Pikachu
Staryu,4,Treecko,grass,,"Overgrow, Unburden",3,https://pokemondb.net/pokedex/Treecko
Staryu,5,Voltorb,electric,,"Soundproof, Static, Aftermath",1,https://pokemondb.net/pokedex/Voltorb
Staryu,6,Cutiefly,bug,fairy,"Honey Gather, Shield Dust, Sweet Veil",7,https://pokemondb.net/pokedex/Cutiefly
Staryu,7,Cyndaquil,fire,,"Blaze, Flash Fire",2,https://pokemondb.net/pokedex/Cyndaquil
Staryu,8,Charmander,fire,,"Blaze, Solar Power",1,https://pokemondb.net/pokedex/Charmander
Staryu,9,Froakie,water,,"Torrent, Protean",6,https://pokemondb.net/pokedex/Froakie
Staryu,10,Salandit,poison,fire,"Corrosion, Oblivious",7,https://pokemondb.net/pokedex/Salandit
Steelix,1,Aggron,steel,rock,"Sturdy, Rock Head, Heavy Metal",3,https://pokemondb.net/pokedex/Aggron
Steelix,2,Regirock,rock,,"Clear Body, Sturdy",3,https://pokemondb.net/pokedex/Regirock
Steelix,3,Avalugg,ice,,"Own Tempo, Ice Body, Sturdy",6,https://pokemondb.net/pokedex/Avalugg
Steelix,4,Golisopod,bug,water,Emergency Exit,7,https://pokemondb.net/pokedex/Golisopod
Steelix,5,Doublade,steel,ghost,No Guard,6,https://pokemondb.net/pokedex/Doublade
Steelix,6,Cloyster,water,ice,"Shell Armor, Skill Link, Overcoat",1,https://pokemondb.net/pokedex/Cloyster
Steelix,7,Gigalith,rock,,"Sturdy, Sand Stream, Sand Force",5,https://pokemondb.net/pokedex/Gigalith
Steelix,8,Forretress,bug,steel,"Sturdy, Overcoat",2,https://pokemondb.net/pokedex/Forretress
Steelix,9,Scizor,bug,steel,"Swarm, Technician, Light Metal",2,https://pokemondb.net/pokedex/Scizor
Steelix,10,Torkoal,fire,,"White Smoke, Drought, Shell Armor",3,https://pokemondb.net/pokedex/Torkoal
Steenee,1,Barboach,water,ground,"Oblivious, Anticipation, Hydration",3,https://pokemondb.net/pokedex/Barboach
Steenee,2,Snivy,grass,,"Overgrow, Contrary",5,https://pokemondb.net/pokedex/Snivy
Steenee,3,Ducklett,water,flying,"Keen Eye, Big Pecks, Hydration",5,https://pokemondb.net/pokedex/Ducklett
Steenee,4,Fletchling,normal,flying,"Big Pecks, Gale Wings",6,https://pokemondb.net/pokedex/Fletchling
Steenee,5,Pansear,fire,,"Gluttony, Blaze",5,https://pokemondb.net/pokedex/Pansear
Steenee,6,Panpour,water,,"Gluttony, Torrent",5,https://pokemondb.net/pokedex/Panpour
Steenee,7,Pansage,grass,,"Gluttony, Overgrow",5,https://pokemondb.net/pokedex/Pansage
Steenee,8,Joltik,bug,electric,"Compoundeyes, Unnerve, Swarm",5,https://pokemondb.net/pokedex/Joltik
Steenee,9,Tympole,water,,"Swift Swim, Hydration, Water Absorb",5,https://pokemondb.net/pokedex/Tympole
Steenee,10,Snorunt,ice,,"Inner Focus, Ice Body, Moody",3,https://pokemondb.net/pokedex/Snorunt
Stoutland,1,Tsareena,grass,,"Leaf Guard, Queenly Majesty, Sweet Veil",7,https://pokemondb.net/pokedex/Tsareena
Stoutland,2,Garbodor,poison,,"Stench, Weak Armor, Aftermath",5,https://pokemondb.net/pokedex/Garbodor
Stoutland,3,Lycanroc,rock,,"Keen Eye, Sand Rush, Steadfast, Keen Eye, Vital Spirit, No Guard",7,https://pokemondb.net/pokedex/Lycanroc
Stoutland,4,Bouffalant,normal,,"Reckless, Sap Sipper, Soundproof",5,https://pokemondb.net/pokedex/Bouffalant
Stoutland,5,Poliwrath,water,fighting,"Water Absorb, Damp, Swift Swim",1,https://pokemondb.net/pokedex/Poliwrath
Stoutland,6,Sawk,fighting,,"Sturdy, Inner Focus, Mold Breaker",5,https://pokemondb.net/pokedex/Sawk
Stoutland,7,Braviary,normal,flying,"Keen Eye, Sheer Force, Defiant",5,https://pokemondb.net/pokedex/Braviary
Stoutland,8,Malamar,dark,psychic,"Contrary, Suction Cups, Infiltrator",6,https://pokemondb.net/pokedex/Malamar
Stoutland,9,Barbaracle,rock,water,"Tough Claws, Sniper, Pickpocket",6,https://pokemondb.net/pokedex/Barbaracle
Stoutland,10,Nidoqueen,poison,ground,"Poison Point, Rivalry, Sheer Force",1,https://pokemondb.net/pokedex/Nidoqueen
Stufful,1,Rufflet,normal,flying,"Keen Eye, Sheer Force, Hustle",5,https://pokemondb.net/pokedex/Rufflet
Stufful,2,Tepig,fire,,"Blaze, Thick Fat",5,https://pokemondb.net/pokedex/Tepig
Stufful,3,Pancham,fighting,,"Iron Fist, Mold Breaker, Scrappy",6,https://pokemondb.net/pokedex/Pancham
Stufful,4,Teddiursa,normal,,"Pickup, Quick Feet, Honey Gather",2,https://pokemondb.net/pokedex/Teddiursa
Stufful,5,Gible,dragon,ground,"Sand Veil, Rough Skin",4,https://pokemondb.net/pokedex/Gible
Stufful,6,Skiddo,grass,,"Sap Sipper, Grass Pelt",6,https://pokemondb.net/pokedex/Skiddo
Stufful,7,Rowlet,grass,flying,"Overgrow, Long Reach",7,https://pokemondb.net/pokedex/Rowlet
Stufful,8,Kricketune,bug,,"Swarm, Technician",4,https://pokemondb.net/pokedex/Kricketune
Stufful,9,Golett,ground,ghost,"Iron Fist, Klutz, No Guard",5,https://pokemondb.net/pokedex/Golett
Stufful,10,Nidorino,poison,,"Poison Point, Rivalry, Hustle",1,https://pokemondb.net/pokedex/Nidorino
Stunfisk,1,Aromatisse,fairy,,"Healer, Aroma Veil",6,https://pokemondb.net/pokedex/Aromatisse
Stunfisk,2,Tropius,grass,flying,"Chlorophyll, Solar Power, Harvest",3,https://pokemondb.net/pokedex/Tropius
Stunfisk,3,Musharna,psychic,,"Forewarn, Synchronize, Telepathy",5,https://pokemondb.net/pokedex/Musharna
Stunfisk,4,Lickilicky,normal,,"Own Tempo, Oblivious, Cloud Nine",4,https://pokemondb.net/pokedex/Lickilicky
Stunfisk,5,Amoonguss,grass,poison,"Effect Spore, Regenerator",5,https://pokemondb.net/pokedex/Amoonguss
Stunfisk,6,Gastrodon,water,ground,"Sticky Hold, Storm Drain, Sand Force",4,https://pokemondb.net/pokedex/Gastrodon
Stunfisk,7,Swalot,poison,,"Liquid Ooze, Sticky Hold, Gluttony",3,https://pokemondb.net/pokedex/Swalot
Stunfisk,8,Jellicent,water,ghost,"Water Absorb, Cursed Body, Damp",5,https://pokemondb.net/pokedex/Jellicent
Stunfisk,9,Clefable,fairy,,"Cute Charm, Magic Guard, Unaware",1,https://pokemondb.net/pokedex/Clefable
Stunfisk,10,Azumarill,water,fairy,"Thick Fat, Huge Power, Sap Sipper",2,https://pokemondb.net/pokedex/Azumarill
Stunky,1,Deerling,normal,grass,"Chlorophyll, Sap Sipper, Serene Grace",5,https://pokemondb.net/pokedex/Deerling
Stunky,2,Pidgeotto,normal,flying,"Keen Eye, Tangled Feet, Big Pecks",1,https://pokemondb.net/pokedex/Pidgeotto
Stunky,3,Staravia,normal,flying,"Intimidate, Reckless",4,https://pokemondb.net/pokedex/Staravia
Stunky,4,Minccino,normal,,"Cute Charm, Technician, Skill Link",5,https://pokemondb.net/pokedex/Minccino
Stunky,5,Krokorok,ground,dark,"Intimidate, Moxie, Anger Point",5,https://pokemondb.net/pokedex/Krokorok
Stunky,6,Vibrava,ground,dragon,Levitate,3,https://pokemondb.net/pokedex/Vibrava
Stunky,7,Glameow,normal,,"Limber, Own Tempo, Keen Eye",4,https://pokemondb.net/pokedex/Glameow
Stunky,8,Woobat,psychic,flying,"Unaware, Klutz, Simple",5,https://pokemondb.net/pokedex/Woobat
Stunky,9,Buneary,normal,,"Run Away, Klutz, Limber",4,https://pokemondb.net/pokedex/Buneary
Stunky,10,Aipom,normal,,"Run Away, Pickup, Skill Link",2,https://pokemondb.net/pokedex/Aipom
Sudowoodo,1,Graveler,rock,ground,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1,https://pokemondb.net/pokedex/Graveler
Sudowoodo,2,Boldore,rock,,"Sturdy, Weak Armor, Sand Force",5,https://pokemondb.net/pokedex/Boldore
Sudowoodo,3,Marowak,ground,fire,"Rock Head, Lightningrod, Battle Armor, Cursed Body, Lightningrod, Rock Head",1,https://pokemondb.net/pokedex/Marowak
Sudowoodo,4,Sandslash,ground,ice,"Sand Veil, Sand Rush, Snow Cloak, Slush Rush",1,https://pokemondb.net/pokedex/Sandslash
Sudowoodo,5,Golem,rock,ground,"Rock Head, Sturdy, Sand Veil, Magnet Pull, Sturdy, Galvanize",1,https://pokemondb.net/pokedex/Golem
Sudowoodo,6,Lairon,steel,rock,"Sturdy, Rock Head, Heavy Metal",3,https://pokemondb.net/pokedex/Lairon
Sudowoodo,7,Crustle,bug,rock,"Sturdy, Shell Armor, Weak Armor",5,https://pokemondb.net/pokedex/Crustle
Sudowoodo,8,Grotle,grass,,"Overgrow, Shell Armor",4,https://pokemondb.net/pokedex/Grotle
Sudowoodo,9,Charjabug,bug,electric,Battery,7,https://pokemondb.net/pokedex/Charjabug
Sudowoodo,10,Gurdurr,fighting,,"Guts, Sheer Force, Iron Fist",5,https://pokemondb.net/pokedex/Gurdurr
Suicune,1,Cresselia,psychic,,Levitate,4,https://pokemondb.net/pokedex/Cresselia
Suicune,2,Meganium,grass,,"Overgrow, Leaf Guard",2,https://pokemondb.net/pokedex/Meganium
Suicune,3,Tapu Fini,water,fairy,"Misty Surge, Telepathy",7,https://pokemondb.net/pokedex/Tapu Fini
Suicune,4,Uxie,psychic,,Levitate,4,https://pokemondb.net/pokedex/Uxie
Suicune,5,Umbreon,dark,,"Synchronize, Inner Focus",2,https://pokemondb.net/pokedex/Umbreon
Suicune,6,Milotic,water,,"Marvel Scale, Competitive, Cute Charm",3,https://pokemondb.net/pokedex/Milotic
Suicune,7,Audino,normal,,"Healer, Regenerator, Klutz",5,https://pokemondb.net/pokedex/Audino
Suicune,8,Type: Null,normal,,Battle Armor,7,https://pokemondb.net/pokedex/Type: Null
Suicune,9,Togekiss,fairy,flying,"Hustle, Serene Grace, Super Luck",4,https://pokemondb.net/pokedex/Togekiss
Suicune,10,Politoed,water,,"Water Absorb, Damp, Drizzle",2,https://pokemondb.net/pokedex/Politoed
Sunflora,1,Beheeyem,psychic,,"Telepathy, Synchronize, Analytic",5,https://pokemondb.net/pokedex/Beheeyem
Sunflora,2,Porygon,normal,,"Trace, Download, Analytic",1,https://pokemondb.net/pokedex/Porygon
Sunflora,3,Brionne,water,,"Torrent, Liquid Voice",7,https://pokemondb.net/pokedex/Brionne
Sunflora,4,Gloom,grass,poison,"Chlorophyll, Stench",1,https://pokemondb.net/pokedex/Gloom
Sunflora,5,Vileplume,grass,poison,"Chlorophyll, Effect Spore",1,https://pokemondb.net/pokedex/Vileplume
Sunflora,6,Prinplup,water,,"Torrent, Defiant",4,https://pokemondb.net/pokedex/Prinplup
Sunflora,7,Slowking,water,psychic,"Oblivious, Own Tempo, Regenerator",2,https://pokemondb.net/pokedex/Slowking
Sunflora,8,Drampa,normal,dragon,"Berserk, Sap Sipper, Cloud Nine",7,https://pokemondb.net/pokedex/Drampa
Sunflora,9,Shiinotic,grass,fairy,"Illuminate, Effect Spore, Rain Dish",7,https://pokemondb.net/pokedex/Shiinotic
Sunflora,10,Clawitzer,water,,Mega Launcher,6,https://pokemondb.net/pokedex/Clawitzer
Sunkern,1,Tyrogue,fighting,,"Guts, Steadfast, Vital Spirit",2,https://pokemondb.net/pokedex/Tyrogue
Sunkern,2,Scatterbug,bug,,"Shield Dust, Compoundeyes, Friend Guard",6,https://pokemondb.net/pokedex/Scatterbug
Sunkern,3,Cosmog,psychic,,Unaware,7,https://pokemondb.net/pokedex/Cosmog
Sunkern,4,Bounsweet,grass,,"Leaf Guard, Oblivious, Sweet Veil",7,https://pokemondb.net/pokedex/Bounsweet
Sunkern,5,Ralts,psychic,fairy,"Synchronize, Trace, Telepathy",3,https://pokemondb.net/pokedex/Ralts
Sunkern,6,Kricketot,bug,,"Shed Skin, Run Away",4,https://pokemondb.net/pokedex/Kricketot
Sunkern,7,Seedot,grass,,"Chlorophyll, Early Bird, Pickpocket",3,https://pokemondb.net/pokedex/Seedot
Sunkern,8,Poochyena,dark,,"Run Away, Quick Feet, Rattled",3,https://pokemondb.net/pokedex/Poochyena
Sunkern,9,Burmy,bug,,"Shed Skin, Overcoat",4,https://pokemondb.net/pokedex/Burmy
Sunkern,10,Sentret,normal,,"Run Away, Keen Eye, Frisk",2,https://pokemondb.net/pokedex/Sentret
Surskit,1,Helioptile,electric,normal,"Dry Skin, Sand Veil, Solar Power",6,https://pokemondb.net/pokedex/Helioptile
Surskit,2,Noibat,flying,dragon,"Frisk, Infiltrator, Telepathy",6,https://pokemondb.net/pokedex/Noibat
Surskit,3,Vulpix,fire,ice,"Flash Fire, Drought, Snow Cloak, Snow Warning",1,https://pokemondb.net/pokedex/Vulpix
Surskit,4,Treecko,grass,,"Overgrow, Unburden",3,https://pokemondb.net/pokedex/Treecko
Surskit,5,Fennekin,fire,,"Blaze, Magician",6,https://pokemondb.net/pokedex/Fennekin
Surskit,6,Kirlia,psychic,fairy,"Synchronize, Trace, Telepathy",3,https://pokemondb.net/pokedex/Kirlia
Surskit,7,Budew,grass,poison,"Natural Cure, Poison Point, Leaf Guard",4,https://pokemondb.net/pokedex/Budew
Surskit,8,Hoppip,grass,flying,"Chlorophyll, Leaf Guard, Infiltrator",2,https://pokemondb.net/pokedex/Hoppip
Surskit,9,Zigzagoon,normal,,"Pickup, Gluttony, Quick Feet",3,https://pokemondb.net/pokedex/Zigzagoon
Surskit,10,Electrike,electric,,"Static, Lightningrod, Minus",3,https://pokemondb.net/pokedex/Electrike
Swablu,1,Baltoy,ground,psychic,Levitate,3,https://pokemondb.net/pokedex/Baltoy
Swablu,2,Chikorita,grass,,"Overgrow, Leaf Guard",2,https://pokemondb.net/pokedex/Chikorita
Swablu,3,Squirtle,water,,"Torrent, Rain Dish",1,https://pokemondb.net/pokedex/Squirtle
Swablu,4,Gothita,psychic,,"Frisk, Competitive, Shadow Tag",5,https://pokemondb.net/pokedex/Gothita
Swablu,5,Trubbish,poison,,"Stench, Sticky Hold, Aftermath",5,https://pokemondb.net/pokedex/Trubbish
Swablu,6,Sewaddle,bug,grass,"Swarm, Chlorophyll, Overcoat",5,https://pokemondb.net/pokedex/Sewaddle
Swablu,7,Eevee,normal,,"Run Away, Adaptability, Anticipation",1,https://pokemondb.net/pokedex/Eevee
Swablu,8,Binacle,rock,water,"Tough Claws, Sniper, Pickpocket",6,https://pokemondb.net/pokedex/Binacle
Swablu,9,Seel,water,,"Thick Fat, Hydration, Ice Body",1,https://pokemondb.net/pokedex/Seel
Swablu,10,Clauncher,water,,Mega Launcher,6,https://pokemondb.net/pokedex/Clauncher
Swadloon,1,Wartortle,water,,"Torrent, Rain Dish",1,https://pokemondb.net/pokedex/Wartortle
Swadloon,2,Bayleef,grass,,"Overgrow, Leaf Guard",2,https://pokemondb.net/pokedex/Bayleef
Swadloon,3,Wormadam,bug,grass,"Anticipation, Overcoat",4,https://pokemondb.net/pokedex/Wormadam
Swadloon,4,Corsola,water,rock,"Hustle, Natural Cure, Regenerator",2,https://pokemondb.net/pokedex/Corsola
Swadloon,5,Klang,steel,,"Plus, Minus, Clear Body",5,https://pokemondb.net/pokedex/Klang
Swadloon,6,Lileep,rock,grass,"Suction Cups, Storm Drain",3,https://pokemondb.net/pokedex/Lileep
Swadloon,7,Gothorita,psychic,,"Frisk, Competitive, Shadow Tag",5,https://pokemondb.net/pokedex/Gothorita
Swadloon,8,Prinplup,water,,"Torrent, Defiant",4,https://pokemondb.net/pokedex/Prinplup
Swadloon,9,Gloom,grass,poison,"Chlorophyll, Stench",1,https://pokemondb.net/pokedex/Gloom
Swadloon,10,Porygon,normal,,"Trace, Download, Analytic",1,https://pokemondb.net/pokedex/Porygon
Swalot,1,Tropius,grass,flying,"Chlorophyll, Solar Power, Harvest",3,https://pokemondb.net/pokedex/Tropius
Swalot,2,Whiscash,water,ground,"Oblivious, Anticipation, Hydration",3,https://pokemondb.net/pokedex/Whiscash
Swalot,3,Lickilicky,normal,,"Own Tempo, Oblivious, Cloud Nine",4,https://pokemondb.net/pokedex/Lickilicky
Swalot,4,Clefable,fairy,,"Cute Charm, Magic Guard, Unaware",1,https://pokemondb.net/pokedex/Clefable
Swalot,5,Azumarill,water,fairy,"Thick Fat, Huge Power, Sap Sipper",2,https://pokemondb.net/pokedex/Azumarill
Swalot,6,Dunsparce,normal,,"Serene Grace, Run Away, Rattled",2,https://pokemondb.net/pokedex/Dunsparce
Swalot,7,Sealeo,ice,water,"Thick Fat, Ice Body, Oblivious",3,https://pokemondb.net/pokedex/Sealeo
Swalot,8,Walrein,ice,water,"Thick Fat, Ice Body, Oblivious",3,https://pokemondb.net/pokedex/Walrein
Swalot,9,Jellicent,water,ghost,"Water Absorb, Cursed Body, Damp",5,https://pokemondb.net/pokedex/Jellicent
Swalot,10,Gastrodon,water,ground,"Sticky Hold, Storm Drain, Sand Force",4,https://pokemondb.net/pokedex/Gastrodon
Swampert,1,Dragonite,dragon,flying,"Inner Focus, Multiscale",1,https://pokemondb.net/pokedex/Dragonite
Swampert,2,Zekrom,dragon,electric,Teravolt,5,https://pokemondb.net/pokedex/Zekrom
Swampert,3,Gyarados,water,flying,"Intimidate, Moxie",1,https://pokemondb.net/pokedex/Gyarados
Swampert,4,Regigigas,normal,,Slow Start,4,https://pokemondb.net/pokedex/Regigigas
Swampert,5,Garchomp,dragon,ground,"Sand Veil, Rough Skin",4,https://pokemondb.net/pokedex/Garchomp
Swampert,6,Tyranitar,rock,dark,"Sand Stream, Unnerve",2,https://pokemondb.net/pokedex/Tyranitar
Swampert,7,Landorus,ground,flying,"Sand Force, Sheer Force, Intimidate",5,https://pokemondb.net/pokedex/Landorus
Swampert,8,Celesteela,steel,flying,Beast Boost,7,https://pokemondb.net/pokedex/Celesteela
Swampert,9,Mesprit,psychic,,Levitate,4,https://pokemondb.net/pokedex/Mesprit
Swampert,10,Altaria,dragon,flying,"Natural Cure, Cloud Nine",3,https://pokemondb.net/pokedex/Altaria
Swanna,1,Basculin,water,,"Reckless, Rock Head, Adaptability, Mold Breaker",5,https://pokemondb.net/pokedex/Basculin
Swanna,2,Simisage,grass,,"Gluttony, Overgrow",5,https://pokemondb.net/pokedex/Simisage
Swanna,3,Simisear,fire,,"Gluttony, Blaze",5,https://pokemondb.net/pokedex/Simisear
Swanna,4,Simipour,water,,"Gluttony, Torrent",5,https://pokemondb.net/pokedex/Simipour
Swanna,5,Stantler,normal,,"Intimidate, Frisk, Sap Sipper",2,https://pokemondb.net/pokedex/Stantler
Swanna,6,Girafarig,normal,psychic,"Inner Focus, Early Bird, Sap Sipper",2,https://pokemondb.net/pokedex/Girafarig
Swanna,7,Galvantula,bug,electric,"Compoundeyes, Unnerve, Swarm",5,https://pokemondb.net/pokedex/Galvantula
Swanna,8,Froslass,ice,ghost,"Snow Cloak, Cursed Body",4,https://pokemondb.net/pokedex/Froslass
Swanna,9,Xatu,psychic,flying,"Synchronize, Early Bird, Magic Bounce",2,https://pokemondb.net/pokedex/Xatu
Swanna,10,Oricorio,fire,flying,Dancer,7,https://pokemondb.net/pokedex/Oricorio
Swellow,1,Purugly,normal,,"Thick Fat, Own Tempo, Defiant",4,https://pokemondb.net/pokedex/Purugly
Swellow,2,Liepard,dark,,"Limber, Unburden, Prankster",5,https://pokemondb.net/pokedex/Liepard
Swellow,3,Cinccino,normal,,"Cute Charm, Technician, Skill Link",5,https://pokemondb.net/pokedex/Cinccino
Swellow,4,Emolga,electric,flying,"Static, Motor Drive",5,https://pokemondb.net/pokedex/Emolga
Swellow,5,Zebstrika,electric,,"Lightningrod, Motor Drive, Sap Sipper",5,https://pokemondb.net/pokedex/Zebstrika
Swellow,6,Minior,rock,flying,Shields Down,7,https://pokemondb.net/pokedex/Minior
Swellow,7,Hawlucha,fighting,flying,"Limber, Unburden, Mold Breaker",6,https://pokemondb.net/pokedex/Hawlucha
Swellow,8,Swoobat,psychic,flying,"Unaware, Klutz, Simple",5,https://pokemondb.net/pokedex/Swoobat
Swellow,9,Persian,normal,dark,"Limber, Technician, Unnerve, Fur Coat, Technician, Rattled",1,https://pokemondb.net/pokedex/Persian
Swellow,10,Talonflame,fire,flying,"Flame Body, Gale Wings",6,https://pokemondb.net/pokedex/Talonflame
Swinub,1,Skitty,normal,,"Cute Charm, Normalize, Wonder Skin ",3,https://pokemondb.net/pokedex/Skitty
Swinub,2,Pidove,normal,flying,"Big Pecks, Super Luck, Rivalry",5,https://pokemondb.net/pokedex/Pidove
Swinub,3,Pidgey,normal,flying,"Keen Eye, Tangled Feet, Big Pecks",1,https://pokemondb.net/pokedex/Pidgey
Swinub,4,Patrat,normal,,"Run Away, Keen Eye, Analytic",5,https://pokemondb.net/pokedex/Patrat
Swinub,5,Nidoran♂,poison,,"Poison Point, Rivalry, Hustle",1,https://pokemondb.net/pokedex/Nidoran♂
Swinub,6,Zubat,poison,flying,"Inner Focus, Infiltrator",1,https://pokemondb.net/pokedex/Zubat
Swinub,7,Starly,normal,flying,"Keen Eye, Reckless",4,https://pokemondb.net/pokedex/Starly
Swinub,8,Fletchling,normal,flying,"Big Pecks, Gale Wings",6,https://pokemondb.net/pokedex/Fletchling
Swinub,9,Shinx,electric,,"Rivalry, Intimidate, Guts",4,https://pokemondb.net/pokedex/Shinx
Swinub,10,Lillipup,normal,,"Vital Spirit, Pickup, Run Away",5,https://pokemondb.net/pokedex/Lillipup
Swirlix,1,Clauncher,water,,Mega Launcher,6,https://pokemondb.net/pokedex/Clauncher
Swirlix,2,Spinda,normal,,"Own Tempo, Tangled Feet, Contrary",3,https://pokemondb.net/pokedex/Spinda
Swirlix,3,Nidorina,poison,,"Poison Point, Rivalry, Hustle",1,https://pokemondb.net/pokedex/Nidorina
Swirlix,4,Piplup,water,,"Torrent, Defiant",4,https://pokemondb.net/pokedex/Piplup
Swirlix,5,Rowlet,grass,flying,"Overgrow, Long Reach",7,https://pokemondb.net/pokedex/Rowlet
Swirlix,6,Lombre,water,grass,"Swift Swim, Rain Dish, Own Tempo",3,https://pokemondb.net/pokedex/Lombre
Swirlix,7,Popplio,water,,"Torrent, Liquid Voice",7,https://pokemondb.net/pokedex/Popplio
Swirlix,8,Mareanie,poison,water,"Merciless, Limber, Regenerator",7,https://pokemondb.net/pokedex/Mareanie
Swirlix,9,Exeggcute,grass,psychic,"Chlorophyll, Harvest",1,https://pokemondb.net/pokedex/Exeggcute
Swirlix,10,Seel,water,,"Thick Fat, Hydration, Ice Body",1,https://pokemondb.net/pokedex/Seel
Swoobat,1,Persian,normal,dark,"Limber, Technician, Unnerve, Fur Coat, Technician, Rattled",1,https://pokemondb.net/pokedex/Persian
Swoobat,2,Dedenne,electric,fairy,"Cheek Pouch, Pickup, Plus",6,https://pokemondb.net/pokedex/Dedenne
Swoobat,3,Frogadier,water,,"Torrent, Protean",6,https://pokemondb.net/pokedex/Frogadier
Swoobat,4,Emolga,electric,flying,"Static, Motor Drive",5,https://pokemondb.net/pokedex/Emolga
Swoobat,5,Yanma,bug,flying,"Speed Boost, Compoundeyes, Frisk",2,https://pokemondb.net/pokedex/Yanma
Swoobat,6,Ribombee,bug,fairy,"Honey Gather, Shield Dust, Sweet Veil",7,https://pokemondb.net/pokedex/Ribombee
Swoobat,7,Galvantula,bug,electric,"Compoundeyes, Unnerve, Swarm",5,https://pokemondb.net/pokedex/Galvantula
Swoobat,8,Purugly,normal,,"Thick Fat, Own Tempo, Defiant",4,https://pokemondb.net/pokedex/Purugly
Swoobat,9,Swellow,normal,flying,"Guts, Scrappy",3,https://pokemondb.net/pokedex/Swellow
Swoobat,10,Froslass,ice,ghost,"Snow Cloak, Cursed Body",4,https://pokemondb.net/pokedex/Froslass
Sylveon,1,Milotic,water,,"Marvel Scale, Competitive, Cute Charm",3,https://pokemondb.net/pokedex/Milotic
Sylveon,2,Primarina,water,fairy,"Torrent, Liquid Voice",7,https://pokemondb.net/pokedex/Primarina
Sylveon,3,Oranguru,normal,psychic,"Inner Focus, Telepathy, Symbiosis",7,https://pokemondb.net/pokedex/Oranguru
Sylveon,4,Florges,fairy,,"Flower Veil, Symbiosis",6,https://pokemondb.net/pokedex/Florges
Sylveon,5,Mantine,water,flying,"Swift Swim, Water Absorb, Water Veil",2,https://pokemondb.net/pokedex/Mantine
Sylveon,6,Hypno,psychic,,"Insomnia, Forewarn, Inner Focus",1,https://pokemondb.net/pokedex/Hypno
Sylveon,7,Politoed,water,,"Water Absorb, Damp, Drizzle",2,https://pokemondb.net/pokedex/Politoed
Sylveon,8,Slowking,water,psychic,"Oblivious, Own Tempo, Regenerator",2,https://pokemondb.net/pokedex/Slowking
Sylveon,9,Ludicolo,water,grass,"Swift Swim, Rain Dish, Own Tempo",3,https://pokemondb.net/pokedex/Ludicolo
Sylveon,10,Grumpig,psychic,,"Thick Fat, Own Tempo, Gluttony",3,https://pokemondb.net/pokedex/Grumpig
Taillow,1,Spearow,normal,flying,"Keen Eye, Sniper",1,https://pokemondb.net/pokedex/Spearow
Taillow,2,Poliwag,water,,"Water Absorb, Damp, Swift Swim",1,https://pokemondb.net/pokedex/Poliwag
Taillow,3,Rattata,normal,dark,"Run Away, Guts, Hustle, Gluttony, Hustle, Thick Fat",1,https://pokemondb.net/pokedex/Rattata
Taillow,4,Glameow,normal,,"Limber, Own Tempo, Keen Eye",4,https://pokemondb.net/pokedex/Glameow
Taillow,5,Blitzle,electric,,"Lightningrod, Motor Drive, Sap Sipper",5,https://pokemondb.net/pokedex/Blitzle
Taillow,6,Starly,normal,flying,"Keen Eye, Reckless",4,https://pokemondb.net/pokedex/Starly
Taillow,7,Minccino,normal,,"Cute Charm, Technician, Skill Link",5,https://pokemondb.net/pokedex/Minccino
